Answer,Reference information in full,Explanation in full
"25. Ans. (b) Recurrent depressive disorder","Ref: Kaplan and Sadock's Comprehensive Textbook of Psychiatry, 11th ed. chapter 7","Recurrent depressive disorder is characterized by two or more episodes of major depression, with each episode lasting at least two weeks, and separated by at least two months of remission. (DSM-5). The patient's history of a previous depressive episode 5 months ago and current symptoms align with this diagnosis. Persistent/major depressive disorder is characterized by persistent low mood, lack of interest or pleasure in activities, feelings of hopelessness, and changes in sleep patterns, among other symptoms. While the patient's current symptoms fit MDD, the term ""recurrent depressive disorder"" is more accurate given the history of a similar episode 5 months ago. The answer would have been major depressive disorder if there is a single episode of these symptoms. Dysthymia, also known as persistent depressive disorder, is characterized by a chronic, low-level depression lasting for at least two years. The symptoms are usually less severe but more persistent than those of MDD. The patient's history of distinct depressive episodes with periods of recovery do not fit the chronic nature of dysthymia. Cyclothymia involves periods of hypomanic symptoms and periods of depressive symptoms that are not severe enough to meet the criteria for major depressive episodes or manic episodes. The patient's history does not include hypomanic symptoms, so cyclothymia is not the correct diagnosis."
"26. Ans. (a) Acute stress disorder","Ref: Kaplan and Sadock's Comprehensive Textbook of Psychiatry, 12th ed. pg. 860","Acute stress disorder occurs in response to a traumatic event and involves symptoms such as intrusive thoughts, avoidant behaviors, and heightened arousal. The patient's refusal to go home due to the recent traumatic event of house break-in fits the criteria for acute stress disorder. This disorder typically occurs within a month of the traumatic event and can include symptoms such as anxiety, distress, and avoidance of reminders of the trauma. Schizophrenia is a chronic mental disorder characterized by delusions, hallucinations, disorganized speech, and impaired functioning. The patient's concern about having a concealed infraction of MDI without any medical evidence could be a delusion, but the symptoms are not focus on the recent traumatic event (the break-in) do not fit the typical presentation of schizophrenia. Avoidant personality disorder is characterized by a pervasive pattern of social inhibition, feelings of inadequacy, and hypersensitivity to negative evaluation. The patient's behavior is more likely a reaction to a specific traumatic event rather than a chronic pattern of avoidance and social inhibition."
"27. Ans. (a) Low mood","Ref: Kaplan and Sadock's Synopsis of Psychiatry 11th ed. pg. 357","Depression is a mental health disorder characterized by a persistent and pervasive low mood or loss of interest, often accompanied by a range of emotional, cognitive, and physical symptoms. The key feature of depression is the presence of a low mood that persists for most of the day, nearly every day, for at least two weeks. Synopsis of Psychiatry states: ""A depressed mood and a loss of interest or pleasure are the key symptoms of depression. In a patient with depression, the depressed often has a distinct quality that differentiate it from a normal emotion of sadness or grief"". The diagnostic criteria for major depressive disorder are as follows Five or more of the following symptoms are present during the same 2-week period. At least one of the symptoms is either depressed mood or loss of interest or pleasure. Depressed mood most of the day Markedly diminished interest or pleasure in activities (anhedonia) Significant weight loss when not dieting or weight gain, decrease or increase in appetite Insomnia or hypersomnia Psychomotor agitation or retardation Fatigue or loss of energy Feelings of worthlessness or excessive or inappropriate guilt Diminished ability to think or concentrate, or indecisiveness Recurrent thoughts of death, recurrent suicidal ideation"
"28. Ans. (a) Postpartum blues","Ref: Kaplan and Sadock's Synopsis of Psychiatry 11th ed. pg. 839-40","Postpartum blues, also known as ""baby blues,"" is a common and mild mood disturbance that occurs in the days following childbirth. It is characterized by symptoms such as sadness, irritability, mood swings, restlessness, and crying. It is a self-limiting condition that usually resolves within a few days to a couple of weeks and does not require specific treatment. Note: Postpartum depression develops within weeks to months after childbirth."
"29. Ans. (b) Postpartum depression","Ref: [https://www.webmd.com/depression/guide/postpartum-depression](https://www.webmd.com/depression/guide/postpartum-depression)","Delirium is an acute, often fluctuating disturbance of consciousness and cognition due to various causes such as infections, medications, or metabolic imbalances. The patient's symptoms are more consistent with an acute stress reaction rather than the acute confusion and disorientation seen in delirium. Postpartum depression (PPD) is a complex mix of physical, emotional, and behavioural changes that happen in some women after giving birth. According to the DSM-5, a manual used to diagnose mental disorders, PPD is a form of major depression that begins within 4 weeks after delivery. The diagnosis of postpartum depression is based not only on the length of time between delivery and onset, but also on the severity of the depression."
"30. Ans. (a) Suicidal attempt","Ref: Kaplan and Sadock's, Comprehensive Textbook of Psychiatry, 10th ed. pg. 8216","A suicide attempt is when people harm themselves with the goal of ending their life, but they do not die. It is not a part of symptoms associated with panic attack."
"31. Ans. (b) Panic attack","Ref: Harrison's 19th ed. pg. 3262","Panic disorder is defined by the presence of recurrent and unpredictable panic attacks, which are distinct episodes of intense fear and discomfort associated with a variety of physical symptoms like tachycardia, fear of impending doom, palpitation, sweating, trembling, paresthesias, GI distress etc. Diagnostic criteria: 1 month of concern or worry about the attack or behavioural change related to them. Lifetime prevalence of panic disorder is 2-3%. Symptoms are always sudden-onset in an unexpected fashion, develop within 10 minutes and usually resolving within an hour. Frequency of panic attack varies: Ranging from once a week to clusters to attacks separated by months of well being."
"32. Ans. (c) Use benzodiazepines for symptoms relief","Ref: Neeraj Ahuja 20th ed. pg. 194-96","Patient's history and symptoms are suggestive of panic attack, anxiety and insomnia. Benzodiazepines are the preferred agent in this patient with anxiety and insomnia. Mechanism of action: Opens GABA mediated Chloride channel Drugs: Mainly short acting drugs are used: Midazolam, Alprazolam, Lorazepam, Estazolam, Triazolam, Temazepam, Oxazepam Indications Generalized anxiety disorder Panic disorder, agoraphobia Agitated depression For Nightmares Short-term treatment of insomnia. For treatment of alcohol withdrawal. For stage 4 NREM sleep disorders."
33. Ans. (a) Post-traumatic stress disorder,,"Post-traumatic stress disorder (PTSD) is a mental health condition that's triggered by a terrifying event - either experiencing it or witnessing it. Symptoms may include flashbacks, nightmares and severe anxiety, as well as uncontrollable thoughts about the event."
34. Ans. (c) Anhedonia,"Ref: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3181880/","Anhedonia refers to the reduced ability to experience pleasure, and has been studied in different neuropsychiatric disorders. Anhedonia is considered as a core feature of major depressive disorder, according to DSM 5 criteria for major depression."
35. Ans. (b) Tangentiality,"Ref: Brain Calipers: Descriptive Psychopathology and the Psychiatric Mental Status","Tangentiality is one of the thought disorders. Tangential speech can be followed remains logical, and stays within the 'ballpark of the topic at hand. Proper words and grammar are used. The distinctive factor here is that the person does not arrive at the main substance/conclusion. It may also be described as replying to a question in an oblique, tangential or in irrelevant manner. The reply is usually related to the question in some distant way. Like in question the patient replied 'up and down'."
36. Ans. (c) Depression with dysthymia,"Ref: Harrison's 20th ed. pg. 3269","Prolong/persistent disorder is known as dysthymia. Therefore, dysthymia is also known as persistent depressive disorder. It consists of a pattern of chronic (at least 2 years), ongoing depressive symptoms that are usually less severe than we seen in major depression. Often times the conditions like depression and dysthymia occur together and is difficult to separate. This persistence of depression with dysthymia is known as double depression."
37. Ans. (b) Weight loss >75%,"Ref: Treatment manual for anorexia nervosa; 2/ed. pg. 277-278","Anorexia nervosa (AN) is a type of eating disorder marked by an inability to maintain a normal healthy body weight, often dropping below 85% of ideal body weight (IBW)."
38. Ans. (a) Adolescence,"Ref: Dying, Death and Bereavement; pg. 323","Copycat suicide also known as Werther effect, is an imitative suicidal behaviour that occurs after exposure to another suicide. This is more common after exposure to media reports of a celebrity's suicide and exert considerable copycat effect on at-risk individuals. It is commonly seen among teenagers and adolescents."
39. Ans. (c) Depression,"Ref: Comprehensive Clinical Psychiatry, Theodore, 2nd ed. pg. 221","Depression is more commonly associated with frontal lobe lesions. Left frontal lobe lesions are more commonly associated than the right frontal lobe. Depression occurs in 30 to 50% of stroke patients within two years of the event. Mania is common and it occurs almost exclusively with right hemisphere lesions. Many of the patients who develop mania have a family history of affective disorders."
40. Ans. (d) Persistent depressive disorder,"Ref: Harrison's, 19th ed. pg. 2706","Persistent depressive disorder, also called dysthymia is a continuous long-term (chronic) form of depression. Dysthymia is, sometimes called neurotic depression, dysthymic disorder, or chronic depression, is a mood disorder consisting of the same cognitive and physical problems as in depression, with less severe but longer-lasting symptoms."
41. Ans. (c) Decreased serotonin and norepinephrine,"Ref: Harrison 19th ed./2714-2715","Depression is one of the mood disorders. It is considered as second most common psychiatric disorder. Most commonly seen in middle age females. M:F ratio=1:2 Neurotransmitters involved are serotonin a NE and DA. All 3 are decreased. (Monoamine Hypothesis)"
42. Ans. (d) Depressed mood,"Ref: Ahuja, 5th ed. pg. 81,109-110","Masked depression means hidden depression which practically means that the patient is having a depression which manifests in somatic symptoms like vague body aches, bowel complaints and inability to carry out normal activities. However, the mood is not seems to be depressed."
43. Ans. (c) Depressive disorder,,"DALY's is Disability Adjusted Life years. It is a measure of the burden of disease in a population and the effectiveness of the intervention. DALY's express years of life lost to premature death and years lives with disability adjusted for the severity of the disability. One DALY is 'one lost year of healthy life' According to Park 23rd ed. Most common cause of DALY's is depressive disorder."
44. Ans. (c) Depressive disorder,"Ref: Kaplan Synopsis 10th ed. pg. 528-30","Most common psychiatric disorder and worldwide: Anxiety disorders > depression Female is most commonly affected as compared to males Depression is the most common psychiatric disorder associated with severe medical illness like hypothyroidism, cancer, AIDS, post MI, stroke, etc."
45. Ans. (c) Major depression,"Ref: Harrison, 19th ed. pg. 2714","Major depression is the second most common psychiatric disorder worldwide & in India with highest life time prevalance (17%), most commonly involving middle (old) age females. Independent of culture or country, is two fold greater prevalent in females than in males. It is the most common psychiatric disorder associated with severe medical illness as myxedema (hypothyroidism, cancer, AIDS, postpartum, post MI and post surgery etc.) In depression monoamine neurotransmitters (monoaminergic NTs) NE and serotonin (and dopamine also) are reduced. For diagnosing major depression >1 essential criteria: Depressed/low mood Loss of interest or pleasure >4 of the following for > same 2 weeks Appetite or weight loss Sleep loss Psychomotor activity (not meeting friends) Concentration loss Low energy (feeling of fatigue, weakness) Feeling of worthlessness or guilt Suicidal thoughts Patient given in the question fits in the criteria: 1st criteria: He has depressed mood and loss of interest or pleasure in dropping his daughter at school In 2nd criteria: Difficulty in sleeping, Not meeting with friends, decrease in energy."
46. Ans. (a) Adjustment disorder,"Ref: Kaplan & Sadock, 10th ed. pg. 790","Adjustment disorder is a short-term condition that occurs when a person is unable to cope with, or adjust to, a particular source of stress, such as a major life change, loss, or event. Diagnostic Criteria: Development of emotional or behavior symptoms in response to identifiable stressor (not of an unusual or catastrophic type), occurring within 3 months of onset of stressor & does not persist for >6 months if stressor is terminated. Marked distress that is in excess of what would be expected Significant impairment in social or occupational life In this question, the examiner wanted us to mis-diagnose as severe depression, but the arousal of symptoms, i.e. within 3 months of stressor favours diagnosis of adjustment. The type of stress that can trigger adjustment disorder varies depending on the person, but can include: Ending of a relationship or marriage Losing or changing job Death of a loved one (as seen in this case) Developing a serious illness (yourself or a loved one) Being a victim of a crime Having an accident Undergoing a major life change (such as getting married, having a baby, or retiring from a job) Living through a disaster, such as a fire, flood, or hurricane. A person with adjustment disorder develops emotional and/or behavioral symptoms as a reaction to a stressful event. These symptoms generally begin within three months of the event and rarely last for longer than six months after the event or situation. Adjustment disorder is not the same as post-traumatic stress disorder (PTSD). PTSD generally occurs as a reaction to a life-threatening event and tends to last longer. Adjustment disorder, on the other hand, is short-term, rarely lasting longer than six months."
47. Ans. (d) Severe depression,"Ref: Kaplan & Sadock, 10th ed. pg. 428","Mood disorders (major depression) and alcohol dependence are two most common causes of suicide. Men COMMIT suicide four times as often as women. Women ATTEMPT suicide four times as often as men. Women usually take psychoactive substance while men use firearms. Suicidal risk is much more in presence of following risk factors: Early in illness (than later), more commonly in men (than women) of middle or old age (>40 years). Single, separated, divorced, widowed, or recently bereaved, social isolation, unemployed. At the onset or end of depressive episode (i.e. depression in involution). Early treatment particularly with SSRIs may increase suicidal feelings & attempts. As with other psychiatric patients, the months after discharge from a hospital are time of high risk. Subtherapeutic doses may increase risk. Presence of marked haplessness. At the peak of depression, the patient is either too retarded or depressed to commit suicide. So, early stages of depression, during recovery (involution) from depression and 3 months period from recovery is high risk period for suicide."
"48. Ans. (c) Psychogenic","Ref: Kaplan & Sadock 10th ed. pg. 693","Most common cause of impotency in male is psychogenic."
"49. Ans. (a) Seasonal affective disorder","Ref: Principles and Practice of Psychopharmacotherapy by Pavuluri pg. 244",""
"50. Ans. (c) ECT","Ref: Kaplan Synopsis 10th ed. pg. 537",""
"51. Ans. (c) Bulimia nervosa","Ref: Kaplan and Sadock's Comprehensive Textbook of Psychiatry, 12th ed. pg. 1027","NEUROSIS/PERSONALITY DISORDER/OCD. Bulimia nervosa is characterized by recurrent episodes of binge eating followed by inappropriate compensatory behaviors, such as self-induced vomiting, to prevent weight gain. The girl's behavior of eating large amounts of food at one time (binge eating) and then inducing vomiting fits this pattern. Her BMI of 27 indicates she is overweight, which is common in individuals with bulimia nervosa, as their weight can fluctuate widely due to the cycle of binging and purging."
"52. Ans. (b) Acrophobia","Ref: Kaplan and Sadock's Comprehensive Textbook of Psychiatry, 12th ed. pg. 972","Acrophobia: This is the fear of heights. Individuals with acrophobia may experience extreme anxiety when at a significant height, or even when thinking about heights. This fear can manifest in various situations, such as looking out of a tall building, standing on a ladder, or hiking in elevated areas. Agoraphobia: This is the fear of being in situations where escape might be difficult or help might not be available in the event of a panic attack or other incapacitating symptoms. It often involves a fear of open spaces, crowded places, or situations where one feels trapped. Claustrophobia: This is the fear of confined spaces. People with claustrophobia may feel intense fear and panic when in enclosed or crowded spaces, such as elevators, small rooms, or crowded events. Nomophobia: This is the fear of being without a mobile phone or beyond mobile phone contact. It is a relatively modern phobia that has emerged with the increased dependency on mobile technology."
"53. Ans. (c) Thought insertion","Ref: Kaplan and Sadock's Comprehensive Textbook of Psychiatry, 12th ed. pg. 826","Thought insertion: This is a type of delusion where a person believes that thoughts that are not their own are being placed into their mind by an external source. This directly corresponds to the patient's belief that their feelings and thoughts are influenced by an external agency. Delusion of nihilism: This type of delusion involves a belief that oneself, others, or the world does not exist or is coming to an end. It is not related to the belief that one's thoughts are being influenced by an external agency. Delusion of reference: This delusion involves a belief that common elements of the environment, such as events, objects, or other people's actions, have a special and personal significance. It does not specifically involve the belief that one's thoughts are being controlled or influenced. Othello syndrome: This is a delusional disorder characterized by unfounded jealousy and the belief that a partner is being unfaithful. It is not related to the belief of external influence over one's thoughts."
"54. Ans. (a) Trichobezoar","Ref: Kaplan and Sadock's Synopsis of Psychiatry 11th ed. pg. 613","A trichobezoar is a mass of hair that forms in the stomach or intestines due to a condition known as trichophagia, where individuals compulsively ingest their own hair. Trichobezoars are most commonly associated with trichotillomania (hair pulling disorder) and often require surgical removal. These patients should immediately be sent for psychiatry referral. Note: Phytobezoars are concentration of indigested food and vegetative matters in GIT. Extra Mile: Phytobezoar. ."
"55. Ans. (a) Impulse","Ref: Kaplan and Sadock's Synopsis of Psychiatry 11th ed. pg. 613","Impulses are strong and often irresistible urges to perform certain actions without much consideration of the potential consequences. Impulsive behaviors are driven by immediate desires or emotions and can lead to risky or unwise decisions. Other options: Hallucinations are false sensory perceptions, such as hearing voices or seeing things that are not present in reality. Delusions are false beliefs that persist despite evidence to the contrary. Pseudo hallucinations involve sensory experiences that occur within the mind's eye, rather than being projected externally."
"56. Ans. (a) OCD","Ref: Kaplan and Sadock's, Comprehensive Textbook of Psychiatry, 10th ed. pg. 4576","Many people with OCD engage in repetitive hand washing. This habit can become excessive at times, resulting in raw and broken skin. Specific to contamination based OCD, signs include increased hand washing, soap being used up more, and frequent, long showers."
"57. Ans. (a) Echolalia","Ref: Kaplan and Sadock's, Comprehensive Textbook of Psychiatry, 10th ed. pg. 3716","Echolalia is the repetition or echoing of words or sounds that you hear someone else say. Echolalia is a feature of schizophrenia (especially the catatonic form). Echopraxia: The involuntary imitation of the movements of another person. Perseveration is the act of repeating something, such as words or actions, over and over again. Circumstantiality is non-direct thinking or speech that digresses from the main point of a conversation."
"58. Ans. (b) Psychiatrist","Ref: Kaplan and Sadock's, Comprehensive Textbook of Psychiatry, 10th ed. pg. 4600","A trichobezoar is a mass of undigested hair within the gastrointestinal tract. Trichobezoars are often associated with trichotillomania (hair pulling), and trichophagia (hair swallowing). A psychiatrist can help in evaluating the exact cause of this disorder."
"59. Ans. (d) Satyriasis","Ref: Kaplan and Sadock's, Comprehensive Textbook of Psychiatry, 10th ed. pg. 5047","In men, hypersexuality is termed as satyriasis, while similar behavior in women was described as nymphomania."
"60. Ans. (c) Obsessive compulsive disorder","Ref: Neeraj Ahuja 20th ed. pg. 95","Obsession: An idea, impulse, image which intrudes into consciousness awareness repeatedly. Insight present, patient tried to resist but unable to which leads to distress. Compulsion: Form of behavior usually follows obsession, aim of preventing or neutralizing distress arising from obsession, insight present so patient realizes irrationality of compulsion. ICD-10 Classifies OCD: Predominantly obsession thoughts; Predominantly compulsion acts; Mixed obsessional thoughts and acts. Examples: Washers: Comment type e.g., obsession of contamination and compulsion is washing it. Checkers: Person have multiple doubts e.g. door has not been locked and compulsion is checking repeatedly to remove doubts."
"61. Ans. (b) Generalised anxiety disorder","Ref: [https://www.nhs.uk/conditions/generalised-anxiety-disorder/](https://www.nhs.uk/conditions/generalised-anxiety-disorder/)","Anxiety is a feeling of unease, such as worry or fear, that can be mild or severe. Anxiety is the main symptom of several conditions, including: Panic disorder; Phobias, such as agoraphobia or claustrophobia; Post-traumatic stress disorder (PTSD); Social anxiety disorder (social phobia)"
"62. Ans. (a) Agoraphobia","Ref: Kaplan & Sadock, 10th ed. pg. 900","Agoraphobia is a fear of being in situations where escape might be difficult or that help wouldn't be available if things go wrong. Someone with agoraphobia may be scared of: travelling on public transport, visiting a shopping centre, leaving home."
